Subject,WorkTimeInSeconds,AnnaTotal,KateTotal,Winner,Prompt,AnswerType,Answer,Comprehension1,Comprehension2,Comprehension3,Anna1,Anna2,Kate1,Kate2
714,143,7,10,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,1,6,6,4
32,72,4,7,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,1,3,6,1
1181,55,2,2,KATE,TRUE,Binary,1,TRUE,FALSE,TRUE,1,1,1,1
1030,166,2,2,KATE,TRUE,Binary,0,TRUE,FALSE,TRUE,1,1,1,1
475,809,7,10,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,2,5,5,5
921,90,2,2,KATE,TRUE,Binary,1,TRUE,FALSE,TRUE,1,1,1,1
171,77,4,7,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,3,1,5,2
691,224,2,2,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
1341,86,7,10,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,4,3,4,6
185,52,4,7,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,2,2,4,3
623,120,7,10,KATE,RIGHT,Binary,0,TRUE,TRUE,FALSE,1,6,4,6
113,351,4,7,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,2,2,1,6
1348,411,2,2,KATE,TRUE,Binary,0,TRUE,FALSE,TRUE,1,1,1,1
324,57,2,2,KATE,TRUE,Binary,0,TRUE,FALSE,TRUE,1,1,1,1
304,156,4,7,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,2,2,1,6
919,254,7,10,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,2,5,4,6
784,146,4,7,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,2,2,3,4
581,95,2,2,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
1436,282,4,7,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,2,2,6,1
1016,46,7,10,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,4,3,5,5
1078,262,4,7,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,2,2,6,1
665,133,2,2,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
867,95,4,7,KATE,CORRECT,Binary,1,TRUE,TRUE,TRUE,3,1,2,5
1394,219,7,10,KATE,RIGHT,Binary,1,TRUE,FALSE,TRUE,3,4,6,4
182,132,2,2,KATE,TRUE,Binary,1,FALSE,TRUE,TRUE,1,1,1,1
41,140,4,7,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,3,1,2,5
1218,240,7,10,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,5,2,4,6
1307,224,2,2,KATE,TRUE,Binary,0,TRUE,TRUE,FALSE,1,1,1,1
134,198,2,2,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
1382,586,7,10,KATE,RIGHT,Binary,0,FALSE,TRUE,TRUE,1,6,5,5
426,85,4,7,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,1,3,5,2
711,147,2,2,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
1166,67,2,2,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
834,81,4,7,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,2,2,5,2
436,264,7,10,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,1,6,5,5
608,274,2,2,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
229,220,4,7,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,1,3,2,5
108,104,2,2,KATE,TRUE,Binary,0,FALSE,TRUE,TRUE,1,1,1,1
1227,389,7,10,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,4,3,6,4
126,264,2,2,KATE,TRUE,Binary,0,FALSE,TRUE,TRUE,1,1,1,1
600,102,4,7,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,1,3,6,1
130,297,4,7,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,1,3,5,2
1072,190,2,2,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
1302,105,7,10,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,4,3,4,6
1406,195,4,7,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,3,1,2,5
491,586,2,2,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
211,164,4,7,KATE,CORRECT,Binary,1,TRUE,TRUE,TRUE,1,3,5,2
72,269,7,10,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,3,4,6,4
